,prm,res
0,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
1,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
2,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
3,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
4,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
5,"[-0.561, 0.307, -0.14499999999999902, -0.26, -0.8, 3948.0, 2012.0, 2.23, 3.45, 0.5739999999999991]",3415.2135758051645
6,"[-0.42899999999999905, 0.307, -0.509, 0.036999999999999006, -0.8, 4056.0, 1794.0, 8.06, 7.269999999999999, 0.638]",1240862.1643136237
7,"[-0.468, 0.307, 1.732, -0.47099999999999903, -0.8, 4479.0, 2029.0, 2.299999999999999, 1.07, 0.685]",33431.5258115382
8,"[0.635, 0.307, 1.566999999999999, 0.5659999999999991, -0.8, 3986.0, 2337.0, 3.72, 8.169999999999998, 0.538]",31812.322546840904
9,"[0.083, 0.307, 1.379999999999999, 0.35299999999999904, -0.8, 4368.0, 1042.0, 6.379999999999999, 8.08, 0.6929999999999991]",2178542.4559300914
10,"[1.014, 0.307, 0.066, -0.152, -0.8, 3056.0, 2287.0, 6.509999999999999, 8.08, 0.7099999999999991]",2552975.1482893666
11,"[-0.202, 0.307, 3.769, 0.6099999999999991, -0.8, 4829.0, 2278.0, 7.7, 5.29, 0.656]",1317838.3044191275
12,"[4.724999999999999, 0.307, -0.35699999999999904, -0.078, -0.8, 4105.0, 3184.0, 7.599999999999999, 9.31, 0.68]",1832681.098156836
13,"[0.5889999999999991, 0.307, 0.221, 0.021, -0.8, 4928.0, 1521.0, 0.42999999999999905, 5.33, 0.6119999999999991]",135081.13358445434
14,"[2.882, 0.307, 0.48499999999999904, 0.105, -0.8, 3580.0, 3195.0, 0.79, 1.55, 0.655]",52431.748161075135
15,"[2.717, 0.307, 4.206, 0.04, -0.8, 4626.0, 2390.0, 9.02, 5.73, 0.6019999999999991]",393535.95727168035
16,"[4.205, 0.307, 4.658, 0.5949999999999991, -0.8, 4823.0, 1783.0, 2.549999999999999, 7.79, 0.643]",819874.5181242777
17,"[0.47599999999999903, 0.307, 2.053999999999999, 0.644, -0.8, 3763.0, 1667.0, 8.43, 6.059999999999999, 0.522]",155204.52233214618
